Model,Test Loss,Accuracy,Precision,Recall,F1 Score
ResNet50,0.4505763351917267,0.891875,0.8943622188947282,0.891875,0.8891038547702819
MobileNetV2,0.45961859822273254,0.86,0.8691837732160312,0.86,0.856595404750522
DenseNet121,0.4962998628616333,0.840625,0.8455137414405558,0.840625,0.8349528561159468
EfficientNetB0,0.5435760617256165,0.820625,0.8277265475216009,0.8206249999999999,0.8121041494706953
